id,budget,popularity,revenue,runtime,vote_average,vote_count
791373,70000000,8052.028,0,242,8.6,4120
399566,200000000,9043.741,121800000,113,7.0,175
581389,21000000,2661.716,0,136,7.2,449
527774,0,2693.845,56482606,107,8.3,1848
793723,0,2023.598,0,80,6.0,295
458576,60000000,1712.716,25814306,104,7.1,1300
587807,50000000,1681.653,66890000,101,7.4,1030
464052,200000000,1640.174,165160000,151,6.8,4550
587996,0,1497.596,0,106,6.5,486
544401,0,1441.72,0,142,7.6,403
686487,12000,1058.59,2700000,91,7.2,102
775996,0,1144.121,0,116,6.5,919
649087,0,942.295,0,86,6.0,399
522444,0,1007.732,0,98,5.0,172
651571,0,1020.571,0,92,4.5,333
373571,170000000,917.786,386600138,132,6.7,3839
602269,30000000,1015.758,23205000,128,6.4,673
664767,0,868.808,0,80,8.4,816
755812,0,910.065,0,55,8.3,562
590706,23000000,830.556,99924,102,5.2,351
484718,60000000,753.319,0,110,6.9,1093
581387,17700000,782.897,61321941,128,6.5,220
529203,65000000,840.888,135076090,95,7.5,1842
560144,0,754.884,0,113,5.9,238
630586,0,676.551,0,110,6.2,311
604822,0,822.349,27900000,107,6.2,269
508442,150000000,738.359,57400000,101,8.3,5487
495764,75000000,709.247,201858461,109,7.1,7221
607383,0,740.944,0,72,4.0,40
539885,0,626.892,2987741,97,5.7,1417
613504,0,689.42,42000000,105,7.3,3522
553604,0,669.394,29404235,99,6.6,741
786300,0,537.531,0,84,6.6,61
799497,0,483.853,0,97,7.0,60
595813,0,590.452,0,107,6.6,8
38700,90000000,519.748,426505244,124,7.2,6127
577922,205000000,571.934,363129000,150,7.3,4831
609242,0,512.759,0,114,7.9,476
124905,160000000,476.39,529076069,123,6.2,6748
638597,0,507.875,0,86,7.1,389
596247,0,449.549,0,138,7.7,51
599281,0,404.049,0,109,7.4,172
475557,55000000,503.537,1074251311,122,8.2,17131
338762,42000000,428.823,33542457,110,6.9,3682
682254,0,417.086,0,72,7.6,66
531499,30000000,439.775,942666,95,5.8,270
520946,0,469.761,4608579,96,5.9,104
666750,0,419.832,0,97,6.9,206
737568,0,405.364,118666,97,5.8,188
